,C,E,M,P,S,V
0,0.30980392156862746,0.32302405498281794,0.2075471698113208,0.08421052631578947,0.2961538461538462,0.4
1,0.2883548983364141,0.24302134646962234,0.17187499999999997,0.13580246913580246,0.3145539906103286,0.0
2,0.3372093023255814,0.22794117647058823,0.16666666666666666,0.09574468085106384,0.28333333333333327,0.2
3,0.34230769230769237,0.2704,0.0,0.09090909090909091,0.2816326530612245,0.5
4,0.3333333333333333,0.17892976588628765,0.25000000000000006,0.10958904109589039,0.31963470319634707,0.5
5,0.34633027522935783,0.3283582089552239,0.2,0.10526315789473684,0.27526132404181186,0.4000000000000001
6,0.3350083752093802,0.24107142857142858,0.26609442060085836,0.0810810810810811,0.31967213114754095,1.0
7,0.30708661417322836,0.247987117552335,0.0,0.20689655172413796,0.2749003984063745,0.6666666666666666
8,0.35130434782608694,0.2863247863247863,0.28712871287128716,0.0,0.37,0.4
9,0.35459662288930577,0.25337837837837834,0.0,0.10344827586206898,0.2777777777777778,0.33333333333333337
10,0.34442270058708413,0.30286738351254483,0.2826086956521739,0.05970149253731343,0.26618705035971224,0.5
11,0.3091286307053942,0.25,0.16666666666666669,0.054054054054054064,0.27017543859649124,0.33333333333333337
12,0.3245283018867925,0.30769230769230765,0.27586206896551724,0.0967741935483871,0.28340080971659914,0.0
13,0.32376395534290275,0.2424778761061947,0.11538461538461539,0.1,0.29803921568627456,0.3333333333333333
14,0.3453815261044177,0.2046979865771812,0.16974169741697415,0.08823529411764706,0.3056603773584906,0.0
15,0.3562610229276896,0.30909090909090914,0.4098360655737704,0.09090909090909091,0.3133047210300429,0.6666666666666667
16,0.3357664233576642,0.24749163879598662,0.07142857142857144,0.12883435582822084,0.3287671232876712,0.6666666666666667
17,0.3254716981132076,0.23728813559322035,0.125,0.13793103448275862,0.30039525691699603,0.5
18,0.35041322314049583,0.23720136518771331,0.07142857142857142,0.07999999999999999,0.32735426008968604,0.7499999999999999
19,0.3125,0.20779220779220778,0.1111111111111111,0.0983606557377049,0.301255230125523,0.5714285714285714
20,0.3110687022900764,0.2747875354107649,0.3179347826086957,0.08888888888888889,0.2830882352941177,0.4285714285714286
21,0.32849364791288566,0.3354430379746835,0.0,0.1111111111111111,0.3073770491803279,0.3333333333333333
22,0.311377245508982,0.28035714285714286,0.18965517241379312,0.053763440860215055,0.2796934865900383,0.3333333333333333
