,C,E,M,P,S,V
0,0.72,0.4615384615384616,0.18055555555555555,0.39999999999999997,0.33088235294117646,0.49477351916376305
1,0.6981132075471699,0.25882352941176473,0.34705882352941175,0.4943181818181819,0.34306569343065696,0.34177215189873417
2,0.8914728682170542,0.28151260504201686,0.3010033444816054,0.46621621621621623,0.3372093023255814,0.38752783964365256
3,0.7815126050420169,0.297741273100616,0.2,0.3018018018018018,0.3574468085106383,0.3971631205673759
4,0.7556818181818181,0.2894736842105263,0.44244604316546765,0.33788395904436863,0.32460732984293195,0.3593220338983051
5,0.7372262773722627,0.46511627906976744,0.16176470588235295,0.32432432432432434,0.3673469387755102,0.4554794520547945
6,0.7902097902097903,0.2389162561576355,0.4382470119521913,0.4676258992805756,0.3891891891891892,0.37299771167048057
7,0.5785714285714285,0.35211267605633806,0.1534653465346535,0.44202898550724634,0.3629032258064516,0.3477366255144033
8,0.773006134969325,0.43750000000000006,0.15079365079365079,0.33333333333333326,0.42780748663101603,0.421875
9,0.7625899280575539,0.3192488262910798,0.254957507082153,0.25146198830409355,0.36305732484076436,0.3840399002493766
