,Number,Name,Prov.Desig,Taxon,a,e,i,H,nu6,5/2,2/1,HUN,3/1,PHO,JFC
0,433,Eros,1898DQ,S,1.4581505458015256,0.2227328478443152,10.827958419970134,10.86,0.7971612175445062,0.0,0.0,4.613927855406528,0.5696714791855169,0.03092911771447211,0.0
1,719,Albert,1911MT,M,2.6369286886504915,0.5469818320014521,11.575964796846035,15.54,0.016603307045631066,6.150501981381771,0.02659791341887516,0.0034799812407929837,2.776868457353242,0.009609046280224345,0.27590455593587226
2,887,Alinda,1918DB,S,2.472767232523442,0.5705791415350203,9.395003190960155,13.34,0.25728376608920983,1.830323391885552,0.17478628818117967,0.05251608054287594,4.236087615361306,0.12701958051671555,0.7008139462347378
3,1036,Ganymed,1924TD,S,2.6659415735486682,0.5331021378566829,26.681991155133304,9.41,0.0035771352577985624,3.6477147875804157,0.12491520052078872,0.005167244872692612,4.176182828874659,0.32160276769125856,0.355319220404061
4,1627,Ivar,1929SH,S,1.8634720263303428,0.3965918460926767,8.451471743469291,13.16,1.0746760457756992,0.0,0.0,3.22973895338687,0.33990846263951013,0.11110459761509398,0.0
5,1221,Amor,1932EA1,P,1.918932685825954,0.4358795048155937,11.883288655633574,17.54,1.40480175954376,0.023634337865741078,0.00047496273962277085,1.317331080605635,0.23110703419154044,0.1282207113017436,0.0
6,1862,Apollo,1932HA,S,1.470610087771838,0.5599660247787642,6.353026950553518,16.12,1.2909914891954049,0.5225195357392851,0.0,1.1392193134632305,0.45376595746829734,0.2729569708976228,0.0
7,69230,Hermes,1937UB,S,1.6554607939073396,0.6237943183666008,6.067065452185133,17.51,1.3819722123560174,0.37413602772371257,0.0009499254792455417,0.4749647123797454,0.6314962908800691,0.10419809560118273,0.01719286550342231
8,2201,Oljato,1947XC,S,2.1754951430263407,0.7127808257669304,2.5219264093233185,15.29,1.1725410669796223,0.2603121647004973,0.0341973172528395,0.5059681816159012,1.2971690304608534,0.03813590242464037,2.381621226164547
9,1863,Antinous,1948EA,S,2.2594662712495976,0.6058810491976614,18.398808491632114,15.41,0.49668185588942687,2.0681160459781265,0.13441445531324414,0.3429363331835995,1.7294307056006109,6.3182482119437635,0.3414011864251001
10,1685,Toro,1948OA,S,1.3675475973789677,0.4359614649909692,9.382256259629742,14.34,1.253262836193341,0.19308808105407332,0.0,1.5546025288415202,0.4984385439722285,0.43931358462400677,0.0
11,1566,Icarus,1949MA,V,1.0780579727624766,0.8269096837042139,22.80238566204957,16.41,0.9600896045695199,0.0,0.0,2.2365733980599516,1.2523044414361317,0.697856986101293,0.0
12,29075,,1950DA,M,1.6980979095494433,0.5081964587759693,12.170015491404682,17.21,1.097303113609227,0.5166109512728498,0.8278600551624896,1.788183087882625,0.6151120757726101,0.6077721772241897,0.0
13,1580,Betulia,1950KA,C,2.197397791557464,0.4871085873013367,52.079323714697615,14.43,0.15725896510699341,1.106911984287468,0.26645409692837446,1.433119547344747,2.48796866440375,8.325938319118137,0.0
14,1980,Tezcatlipoca,1950LA,S,1.7094238768121814,0.3648358202064377,26.868963676990447,13.79,0.5014063741544438,0.03377926591188466,0.005224590135850479,6.559553730940787,0.26541148457278263,1.086723077754122,0.0
15,1620,Geographos,1951RA,S,1.2457808141601208,0.3354348421502244,13.336886813002375,15.29,1.1912366606854752,0.1181716893287054,0.43791564593219473,2.1542138420278505,0.36909284579967144,0.36724573752232414,0.0
16,1915,Quetzalcoatl,1953EA,S,2.5436365050136134,0.5705259255608409,20.404632857699724,18.11,0.06848864156322815,3.6707917118172477,0.4355408322340808,0.017610814157952372,3.56855885141288,1.3846035124410765,1.2788217103021735
17,1916,Boreas,1953RA,S,2.2722378104231664,0.44986351372345296,12.882535727353721,14.89,1.2750799866100084,0.847491681393225,0.11494098298871053,0.15364644447985992,0.8486511418941639,0.5621292073931241,0.0
18,4183,Cuno,1959LM,S,1.9822236547039764,0.6358738479133145,6.6686654971995045,14.13,1.3819722123560174,0.12831661737484898,0.01614873314717421,0.627978432997643,0.6908890706446079,0.04113872938721047,0.0204676970278837
19,2061,Anza,1960UA,S,2.2642298853681,0.5360526546089194,3.8004247204320927,16.38,1.226569307995995,0.12341137744044989,0.036097168211330584,0.22883513007638712,1.4068024698322488,0.04324070826100955,1.4982354224410868
20,2059,Baboquivari,1963UA,V,2.642805913070604,0.5316491001736753,11.022600551061764,15.97,0.016603307045631066,6.150501981381771,0.02659791341887516,0.0034799812407929837,2.776868457353242,0.009609046280224345,0.27590455593587226
21,1917,Cuyo,1968AA,S,2.149860595955711,0.505539365594485,23.961510356707105,14.36,0.16041426837684403,0.6988852079260888,0.1857104311925034,0.69863259758344,1.0261254719448816,18.369793943522634,0.0
22,1864,Daedalus,1971FA,S,1.4608703095593756,0.6144876345222159,22.216635492038847,14.75,1.010557583607612,0.2645485082802056,0.0,2.0848251251659784,0.8592752813779069,1.3635837237030857,0.0
23,1865,Cerberus,1971UA,S,1.0799259691746699,0.4670471019819743,16.10066146180025,16.72,1.076599599640742,0.19230770197360078,0.9114534973360972,1.9362404715818176,0.7703781142518893,0.6462083623450872,0.0
24,1866,Sisyphus,1972XA,S,1.8934344027079533,0.538373765705783,41.205997455220405,12.44,0.3777421085676247,0.6585284611930781,0.011399105750946499,3.205906354586288,1.207055847369829,6.732638332778437,0.0
25,1981,Midas,1973EA,V,1.7765834941069627,0.650030394044163,39.83022869707163,15.24,0.54568185960946,0.507692333210306,0.00617451561509602,2.6058732254919827,1.4550591033909366,4.698523348333447,0.0
26,1943,Anteros,1973EC,C,1.4304060881583074,0.2560594244323837,8.706006390894817,15.66,0.9354039966348063,0.0,0.0,3.5939769899232026,0.65575260933994,0.07056643362039752,0.0
27,5496,,1973NA,C,2.4356661659081973,0.6353033493224082,67.99969160183143,16.05,0.11067184035802251,2.437904247396349,0.7779889675020986,0.34852539396426707,3.483373733022147,3.5925821780188767,0.19567118358656818
28,5660,,1974MA,S,1.7855448018585272,0.7618905949969323,38.12472896481855,15.47,0.5984783512210247,0.6059086146240696,0.0,2.5540953227880627,1.1417109894607835,5.115916296130692,0.0
29,2102,Tantalus,1975YA,S,1.2900779203262975,0.2992601354652045,64.00043775892392,15.99,0.9689649495959446,0.23233000052926608,0.0,3.245557049935929,0.00838411007452002,2.877308795534677,0.0
30,2062,Aten,1976AA,S,0.9669250813944096,0.18280500838849165,18.934205214047644,17.1,1.2495338414198809,0.02062430426963255,0.6464242886265911,2.2124244373283877,0.1934745401165956,0.11921223041403325,0.0
31,2340,Hathor,1976UA,S,0.8437888534219643,0.4498553688793847,5.860384170117299,20.34,1.53283620452572,0.0,0.0,0.39387060407156954,0.32576427694127413,0.09939357246107056,0.0
32,2329,Orthos,1976WA,S,2.4092435241107792,0.6539420638481778,24.475442811645745,14.53,0.07026033591260951,2.468227548808998,0.2617044695321467,0.09743947474220355,3.9496838551820916,2.8854164283336163,0.7360183851226978
33,2063,Bacchus,1977HB,S,1.078096920844568,0.34942377060910235,9.431261494376043,17.27,1.2892029215665055,0.4327759414849381,0.3044511160981961,1.3852434417895951,0.32883631727392265,0.2399258743093516,0.0
34,7977,,1977QQ5,S,2.226463131782876,0.4662112662291757,25.16392223619845,15.16,0.01461226006251677,0.5739130723246938,0.002374813698113854,0.28736208730790547,0.9213560964335132,23.079728034313845,0.0
35,2368,Beltrovata,1977RA,S,2.1054501094530393,0.4132945438230205,5.221742376387158,15.1,1.6526702356619718,0.03322185228297567,0.0,0.05399243622078812,0.07788902260069364,0.0039036750513411394,0.01146191033561487
36,136564,,1977VA,C,1.8655082660347768,0.39445417859394144,2.9848792733627705,19.09,1.4589987333553118,0.02408026876886827,0.0,0.38047794899336623,0.6209361522365896,0.0018016961775420646,0.0
37,161989,Cacus,1978CA,S,1.1232053025123,0.2139386100712289,26.062543328554238,17.2,1.0829945725780328,0.018171684302433,0.0,2.547451722237458,0.5862476968137663,0.7014603784563771,0.0
38,2608,Seneca,1978DA,S,2.518882248448071,0.5707450255549898,14.671855483824912,17.55,0.0875554474184752,4.3772577450964985,0.22655722680006168,0.016556274388015105,3.3310517331949887,0.2657501861874545,1.6226790203706196
39,2100,Ra-Shalom,1978RA,C,0.8319975509030219,0.4366421986837296,15.755722730932105,16.18,1.1406843152497936,0.26142699195831526,0.0,1.9910765396185555,0.6699607958784395,0.21079845277242154,0.0
40,2212,Hephaistos,1978SB,S,2.1597935144443854,0.8373234773044429,11.542404978085505,13.34,1.1330407196281769,0.6713489746579848,0.04654634848303154,0.4610447874165735,1.3699379858404659,0.16035095980124375,0.3430386021873308
41,4015,Wilson-Harrington,1979VA,C,2.6249794940448434,0.6317539030287935,2.799228010707236,16.05,0.2533691652410529,3.9196211557622203,0.5443072996076953,0.06031967484041172,2.4008635208051112,0.009909328976481354,8.64637393245919
42,5797,Bivoj,1980AA,S,1.8934756562900217,0.4442622932351276,4.189874269294471,18.79,1.5590572808965641,0.12374582561779528,0.057470491494355264,0.2810348486882819,0.23168304175391205,0.025824311878102923,0.0
43,3908,Nyx,1980PA,V,1.9276237590248642,0.4592836152191691,2.1858000628480707,17.35,1.4616140916805893,0.07491639172536796,0.22323248762270229,0.6262911693657434,0.391557140732164,0.053750602630004925,0.0
44,4688,,1980WF,S,2.2322627700334103,0.5177362149414546,6.3752328118411015,19.48,1.5563069363351436,0.13567447727644763,0.0,0.01898171585887082,0.40320529366012314,0.006005653925140215,0.0392979782935367
45,3352,McAuliffe,1981CW,S,1.878966799203832,0.3690187332015169,4.770596728126401,15.88,1.180792100663884,0.002452619967199546,0.0,2.111715889299379,0.6216401614794882,0.0783737837230798,0.0
46,3122,Florence,1981ET3,S,1.7687409054934982,0.4232711380974957,22.14482988117287,14.03,0.6318874446665017,0.1690078122852051,0.12159046134342934,5.052089129815463,0.5687754674218277,1.1966265445841877,0.0
47,3102,Krok,1981QA,S,2.150705167016415,0.4495586016601612,8.444939582213303,16.19,1.555615131874909,0.15997771149687948,0.009499254792455416,0.17663541146449238,0.27974767279180923,0.07416982597548165,0.04830376498580553
48,4596,,1981QB,S,2.2395642366506867,0.5198689076659273,37.077853425917596,16.35,0.09212810616783092,0.9234114176506291,0.0056995528754732495,0.5842150325452463,1.309521192631711,18.090230753307356,0.0
49,3103,Eger,1982BB,P,1.4040278935421986,0.3542131265695021,20.930116989797387,15.23,0.843124030951314,0.1821627739274572,0.0,4.183991991203104,0.39181314409321805,0.7810352929644849,0.0
50,4660,Nereus,1982DB,E,1.4850274302029327,0.3587794516387727,1.4537602821236262,18.62,1.4624408823769672,0.013377927093815705,0.29447689856611786,0.6243929977798562,0.4128054196996499,0.06516134508777133,0.0
51,3288,Seleucus,1982DV,S,2.0328756663938616,0.4563187330214504,5.9309982464983815,15.27,1.5102935030897817,0.05261984656900844,0.002374813698113854,0.7288978889806396,0.19597057288687256,0.012311590546537441,0.0
52,3691,Bede,1982FT,E,1.7743134704430759,0.2840898078992154,20.361406710580248,14.79,0.46185540696444466,0.0,0.0,6.925057215201044,0.4143414398659742,0.1456371076846502,0.0
